clade	species	ts	te
0	1176	6	4
0	1177	11	8
0	1178	25	3
0	1179	6	1
0	1180	32	3
0	1181	9	3
0	1182	9	3
0	1183	9	2
0	1184	4	2
0	1185	14	1
0	1186	6	2
0	1187	10	4
0	1188	5	1
0	1189	3	0
0	1190	8	0
0	1191	5	1
0	1192	6	4
0	1193	16	6
0	1194	18	1
0	1195	13	0
0	1196	7	3
0	1197	12	3
0	1198	10	3
0	1199	7	5
0	1200	21	0
0	1201	12	2
0	1202	21	2
0	1203	25	2
0	1204	17	1
0	1205	25	7
0	1206	17	1
0	1207	21	2
0	1208	20	1
0	1209	16	8
0	1210	17	1
0	1211	6	1
0	1212	14	2
0	1213	11	1
0	1214	7	4
0	1215	7	1
0	1216	5	2
0	1217	4	2
0	1218	5	1
0	1219	15	7
0	1220	10	0
0	1221	20	3
0	1222	9	0
0	1223	9	2
0	1224	13	10
0	1225	13	6
0	1226	7	6
0	1227	15	3
0	1228	19	7
0	1229	9	5
0	1230	5	3
0	1231	19	2
0	1232	18	6
0	1233	18	11
0	1234	11	1
0	1235	3	2
0	1236	31	8
0	1237	33	9
0	1238	28	8
0	1239	5	2
0	1240	7	0
0	1241	6	0
0	1242	14	1
0	1243	19	1
0	1244	26	3
0	1245	7	6
0	1246	25	4
0	1247	2	1
0	1248	11	4
0	1249	4	2
0	1250	4	2
0	1251	20	7
0	1252	13	10
0	1253	3	1
0	1254	33	0
0	1255	27	3
0	1256	32	0
0	1257	15	4
0	1258	5	1
0	1259	23	0
0	1260	28	3
0	1261	21	2
0	1262	16	4
0	1263	3	1
0	1264	33	3
0	1265	26	3
0	1266	16	0
0	1267	21	2
0	1268	18	14
0	1269	18	7
0	1270	18	7
0	1271	12	0
0	1272	3	0
0	1273	17	1
0	1274	20	9
0	1275	4	1
0	1276	12	1
0	1277	2	1
0	1278	10	1
0	1279	4	2
0	1280	14	2
0	1281	11	8
0	1282	8	2
0	1283	8	0
0	1284	23	21
0	1285	6	3
0	1286	9	1
0	1287	3	1
0	1288	16	6
0	1289	12	2
0	1290	12	1
0	1291	10	1
0	1292	8	1
0	1293	2	1
0	1294	2	0
0	1295	6	5
0	1296	19	11
0	1297	12	2
0	1298	18	8
0	1299	11	1
0	1300	8	2
0	1301	7	5
0	1302	8	4
0	1303	6	1
0	1304	6	3
0	1305	6	2
0	1306	26	5
0	1307	2	1
0	1308	35	27
0	1309	18	4
0	1310	31	5
0	1311	9	3
0	1312	4	3
0	1313	24	18
0	1314	7	3
0	1315	14	1
0	1316	7	3
0	1317	11	3
0	1318	12	3
0	1319	8	1
0	1320	7	2
0	1321	5	1
0	1322	15	5
0	1323	10	2
0	1324	15	1
0	1325	5	1
0	1326	7	1
0	1327	12	7
0	1328	17	4
0	1329	6	2
0	1330	6	2
0	1331	7	6
0	1332	7	6
0	1333	2	1
0	1334	6	2
0	1335	9	2
0	1336	14	2
0	1337	1	0
0	1338	1	0
0	1339	8	1
0	1340	13	5
0	1341	16	5
0	1342	8	4
0	1343	6	3
0	1344	22	1
0	1345	31	25
0	1346	23	8
0	1347	9	1
0	1348	7	2
0	1349	5	2
0	1350	21	2
0	1351	21	8
0	1352	7	5
0	1353	11	7
0	1354	5	1
0	1355	17	10
0	1356	10	2
0	1357	6	0
0	1358	20	4
0	1359	10	5
0	1360	27	18
0	1361	13	2
0	1362	19	2
0	1363	21	5
0	1364	15	14
0	1365	22	7
0	1366	14	7
0	1367	5	1
0	1368	7	1
0	1369	17	4
0	1370	2	1
0	1371	9	1
0	1372	11	3
0	1373	10	7
0	1374	7	3
0	1375	11	1
0	1376	11	3
0	1377	10	3
0	1378	8	1
0	1379	10	6
0	1380	10	1
0	1381	7	6
0	1382	2	1
0	1383	3	1
0	1384	2	1
0	1385	22	0
0	1386	12	7
0	1387	15	9
0	1388	16	3
0	1389	7	3
0	1390	11	2
0	1391	19	16
0	1392	14	7
0	1393	14	13
0	1394	7	2
0	1395	4	3
0	1396	25	1
0	1397	13	2
0	1398	4	1
0	1399	4	2
0	1400	5	0
0	1401	21	0
0	1402	8	1
0	1403	3	2
0	1404	26	6
0	1405	21	7
0	1406	9	0
0	1407	9	4
0	1408	6	1
0	1409	26	9
0	1410	7	1
0	1411	18	0
0	1412	7	1
0	1413	15	1
0	1414	6	5
0	1415	3	2
0	1416	11	3
0	1417	8	1
0	1418	6	2
0	1419	3	2
0	1420	25	9
0	1421	7	5
0	1422	7	2
0	1423	2	1
0	1424	16	1
0	1425	4	2
0	1426	18	1
0	1427	6	1
0	1428	6	1
0	1429	7	5
0	1430	7	6
0	1431	26	0
0	1432	9	7
0	1433	25	3
0	1434	17	8
0	1435	17	14
0	1436	17	2
0	1437	15	0
0	1438	15	1
0	1439	7	3
0	1440	7	1
0	1441	3	1
0	1442	19	1
0	1443	5	2
0	1444	10	3
0	1445	9	7
0	1446	6	0
0	1447	25	7
0	1448	18	2
0	1449	5	3
0	1450	1	0
0	1451	7	1
0	1452	12	1
0	1453	9	8
0	1454	25	12
0	1455	13	3
0	1456	14	8
0	1457	5	1
0	1458	5	2
0	1459	1	0
0	1460	36	24
0	1461	3	0
0	1462	2	1
0	1463	2	1
0	1464	9	0
0	1465	9	1
0	1466	9	0
0	1467	4	2
0	1468	11	1
0	1469	11	5
0	1470	11	3
0	1471	5	3
0	1472	36	1
0	1473	6	1
0	1474	10	0
0	1475	4	3
0	1476	12	3
0	1477	9	6
0	1478	3	1
0	1479	20	13
0	1480	9	6
0	1481	2	0
0	1482	26	0
0	1483	20	1
0	1484	7	2
0	1485	6	1
0	1486	3	1
0	1487	17	8
0	1488	7	2
0	1489	5	1
0	1490	6	5
0	1491	19	4
0	1492	4	1
0	1493	3	0
0	1494	10	8
0	1495	36	3
